Customer ID,Product ID,Postal Code,Ship Date,Ship Mode,Sales,Quantity,Discount,Profit,Order ID
CG-12520,FUR-BO-10001798,42420,2016-11-11,Second Class,261.96,2,0.0,41.9136,CA-2016-152156
CG-12520,FUR-CH-10000454,42420,2016-11-11,Second Class,731.94,3,0.0,219.582,CA-2016-152156
DV-13045,OFF-LA-10000240,90036,2016-06-16,Second Class,14.62,2,0.0,6.8714,CA-2016-138688
SO-20335,FUR-TA-10000577,33311,2015-10-18,Standard Class,957.5775,5,0.45,-383.031,US-2015-108966
SO-20335,OFF-ST-10000760,33311,2015-10-18,Standard Class,22.368,2,0.2,2.5164,US-2015-108966
BH-11710,FUR-FU-10001487,90032,2014-06-14,Standard Class,48.86,7,0.0,14.1694,CA-2014-115812
BH-11710,OFF-AR-10002833,90032,2014-06-14,Standard Class,7.28,4,0.0,1.9656,CA-2014-115812
BH-11710,TEC-PH-10002275,90032,2014-06-14,Standard Class,907.152,6,0.2,90.7152,CA-2014-115812
BH-11710,OFF-BI-10003910,90032,2014-06-14,Standard Class,18.504,3,0.2,5.7825,CA-2014-115812
BH-11710,OFF-AP-10002892,90032,2014-06-14,Standard Class,114.9,5,0.0,34.47,CA-2014-115812
BH-11710,FUR-TA-10001539,90032,2014-06-14,Standard Class,1706.184,9,0.2,85.3092,CA-2014-115812
BH-11710,TEC-PH-10002033,90032,2014-06-14,Standard Class,911.424,4,0.2,68.3568,CA-2014-115812
AA-10480,OFF-PA-10002365,28027,2017-04-20,Standard Class,15.552,3,0.2,5.4432,CA-2017-114412
IM-15070,OFF-BI-10003656,98103,2016-12-10,Standard Class,407.976,3,0.2,132.5922,CA-2016-161389
HP-14815,OFF-AP-10002311,76106,2015-11-26,Standard Class,68.81,5,0.8,-123.858,US-2015-118983
HP-14815,OFF-BI-10000756,76106,2015-11-26,Standard Class,2.544,3,0.8,-3.816,US-2015-118983
PK-19075,OFF-ST-10004186,53711,2014-11-18,Standard Class,665.88,6,0.0,13.3176,CA-2014-105893
AG-10270,OFF-ST-10000107,84084,2014-05-15,Second Class,55.5,2,0.0,9.99,CA-2014-167164
ZD-21925,OFF-AR-10003056,94109,2014-09-01,Second Class,8.56,2,0.0,2.4824,CA-2014-143336
ZD-21925,TEC-PH-10001949,94109,2014-09-01,Second Class,213.48,3,0.2,16.011,CA-2014-143336
ZD-21925,OFF-BI-10002215,94109,2014-09-01,Second Class,22.72,4,0.2,7.384,CA-2014-143336
KB-16585,OFF-AR-10000246,68025,2016-12-13,Standard Class,19.46,7,0.0,5.0596,CA-2016-137330
KB-16585,OFF-AP-10001492,68025,2016-12-13,Standard Class,60.34,7,0.0,15.6884,CA-2016-137330
SF-20065,FUR-CH-10002774,19140,2017-07-18,Second Class,71.372,2,0.3,-1.0196,US-2017-156909
EB-13870,FUR-TA-10000577,84057,2015-09-30,Standard Class,1044.63,3,0.0,240.2649,CA-2015-106320
EH-13945,OFF-BI-10001634,90049,2016-01-20,Second Class,11.648,2,0.2,4.2224,CA-2016-121755
EH-13945,TEC-AC-10003027,90049,2016-01-20,Second Class,90.57,3,0.0,11.7741,CA-2016-121755
TB-21520,FUR-BO-10004834,19140,2015-09-21,Standard Class,3083.43,7,0.5,-1665.0522,US-2015-150630
TB-21520,OFF-BI-10000474,19140,2015-09-21,Standard Class,9.618,2,0.7,-7.0532,US-2015-150630
TB-21520,FUR-FU-10004848,19140,2015-09-21,Standard Class,124.2,3,0.2,15.525,US-2015-150630
TB-21520,OFF-EN-10001509,19140,2015-09-21,Standard Class,3.264,2,0.2,1.1016,US-2015-150630
TB-21520,OFF-AR-10004042,19140,2015-09-21,Standard Class,86.304,6,0.2,9.7092,US-2015-150630
TB-21520,OFF-BI-10001525,19140,2015-09-21,Standard Class,6.858,6,0.7,-5.715,US-2015-150630
TB-21520,OFF-AR-10001683,19140,2015-09-21,Standard Class,15.76,2,0.2,3.546,US-2015-150630
MA-17560,OFF-PA-10000249,77095,2017-10-23,Second Class,29.472,3,0.2,9.9468,CA-2017-107727
GH-14485,TEC-PH-10004977,75080,2016-12-10,First Class,1097.544,7,0.2,123.4737,CA-2016-117590
GH-14485,FUR-FU-10003664,75080,2016-12-10,First Class,190.92,5,0.6,-147.963,CA-2016-117590
SN-20710,OFF-EN-10002986,77041,2015-12-31,Standard Class,113.328,9,0.2,35.415,CA-2015-117415
SN-20710,FUR-BO-10002545,77041,2015-12-31,Standard Class,532.3992,3,0.32,-46.9764,CA-2015-117415
SN-20710,FUR-CH-10004218,77041,2015-12-31,Standard Class,212.058,3,0.3,-15.147,CA-2015-117415
SN-20710,TEC-PH-10000486,77041,2015-12-31,Standard Class,371.168,4,0.2,41.7564,CA-2015-117415
LC-16930,TEC-PH-10004093,60540,2017-09-15,Standard Class,147.168,4,0.2,16.5564,CA-2017-120999
RA-19885,OFF-ST-10003479,90049,2016-07-22,Standard Class,77.88,2,0.0,3.894,CA-2016-101343
ES-14080,OFF-ST-10003282,32935,2017-09-23,Standard Class,95.616,2,0.2,9.5616,CA-2017-139619
ON-18715,TEC-AC-10000171,55122,2016-03-13,First Class,45.98,2,0.0,19.7714,CA-2016-118255
ON-18715,OFF-BI-10003291,55122,2016-03-13,First Class,17.46,2,0.0,8.2062,CA-2016-118255
PO-18865,OFF-ST-10001713,48185,2014-10-25,Second Class,211.96,4,0.0,8.4784,CA-2014-146703
LH-16900,TEC-AC-10002167,19901,2016-06-25,Standard Class,45.0,3,0.0,4.95,CA-2016-169194
LH-16900,TEC-PH-10003988,19901,2016-06-25,Standard Class,21.8,2,0.0,6.104,CA-2016-169194
